"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"300335","1001733","United Kingdom",0.0946875,184,3931.74033353261,2015-02-11,5,5,5,555
"295805","1017587","United Kingdom",0.460497685185185,278,1670.62067391025,2015-02-11,5,5,5,555
"135586","1017553","United Kingdom",0.50962962962963,64,1382.95821889062,2015-02-11,5,5,5,555
"54824","1022046","Virgin Islands, British",0.572743055555556,33,596.998142943515,2015-02-11,5,5,5,555
"163200","1012366","Australia",0.514097222222222,13,296.347061538462,2015-02-11,5,5,5,555
"96372","1018755","Cyprus",0.273275462962963,9,270.38760424,2015-02-11,5,5,5,555
"146508","1016705","United Kingdom",0.0678240740740741,16,107.78148949375,2015-02-11,5,5,4,554
"295156","1017969","United Kingdom",0.312361111111111,12,88.6642632364391,2015-02-11,5,5,4,554
"233460","1016797","United Kingdom",0.182025462962963,148,67.9933386825676,2015-02-11,5,5,4,554
"127217","1011302","UAE",0.192546296296296,15,31.32359937,2015-02-11,5,5,3,553
"2691","1010845","Seychelles",0.605729166666667,9,28.6146821632494,2015-02-11,5,5,3,553
"610223","1019032","UAE",0.156967592592593,21,21.337185702381,2015-02-11,5,5,3,553
"61877","1006293","United Kingdom",0.586898148148148,11,17.8764432378548,2015-02-11,5,5,3,553
"159931","1009382","Australia",0.556689814814815,11,17.1269090909091,2015-02-11,5,5,3,553
"668924","1016080","Australia",0.523298611111111,19,9.6221052631579,2015-02-11,5,5,2,552
"340801","1000133","Netherlands",0.086400462962963,142,4.88720566247634,2015-02-11,5,5,2,552
"696132","1016597","Ukraine",0.1759375,38,3.8379052201314,2015-02-11,5,5,2,552
"132036","1017539","United Kingdom",0.433344907407407,411,2.19167504014599,2015-02-11,5,5,2,552
"160738","1018852","Australia",0.193240740740741,5,2500,2015-02-11,5,4,5,545
"297496","1018654","UAE",0.207569444444444,3,631.071,2015-02-11,5,4,5,545
"92484","1009856","India",0.561990740740741,3,454.963664676875,2015-02-11,5,4,5,545
"293264","1017080","Seychelles",0.403217592592593,7,431.734021759178,2015-02-11,5,4,5,545
"3570","1018854","Seychelles",0.203773148148148,6,395.009325525564,2015-02-11,5,4,5,545
"595726","1012925","United Kingdom",0.0126388888888889,4,172.35225,2015-02-11,5,4,4,544
"241687","1013215","United Kingdom",0.614548611111111,4,161.54023554,2015-02-11,5,4,4,544
"342369","1006776","Australia",0.427233796296296,6,63.955,2015-02-11,5,4,4,544
"101601","1014605","Gibraltar",0.579293981481481,3,52.69317165,2015-02-11,5,4,4,544
"300588","1022472","United Kingdom",0.057337962962963,3,37.18975,2015-02-11,5,4,3,543
"134939","1012144","United Kingdom",0.0264351851851852,3,0,2015-02-11,5,4,2,542
"135458","1016586","Cyprus",0.47525462962963,3,0,2015-02-11,5,4,2,542
"117633","1020319","Cyprus",0.0993287037037037,2,50.16816,2015-02-11,5,3,4,534
"303310","1021460","United Kingdom",0.0779166666666667,2,20.632985,2015-02-11,5,3,3,533
"358333","1020913","United Kingdom",0.0867939814814815,2,6.401268,2015-02-11,5,3,2,532
"16546","1017081","Virgin Islands, British",0.419166666666667,1,2060.2128211783,2015-02-11,5,2,5,525
"77075","1014540","UAE",0.581053240740741,1,507.005498961848,2015-02-11,5,2,5,525
