"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"148717","1005901","United Kingdom",0,166,3212.08626506024,2015-02-03,5,5,5,555
"75745","1015348","Virgin Islands, British",0,24,568.704580846094,2015-02-03,5,5,5,555
"145517","1019309","UAE",0,13,306.123703846154,2015-02-03,5,5,5,555
"146504","1016705","United Kingdom",0,8,130.935972875,2015-02-03,5,5,4,554
"110931","1016797","United Kingdom",0,34,43.5679028123529,2015-02-03,5,5,3,553
"167092","1000133","Netherlands",0,12,16.2729796887178,2015-02-03,5,5,2,552
"2377","1016597","Ukraine",0,7,10.846731341944,2015-02-03,5,5,1,551
"73995","1017080","Seychelles",0,4,338.253273634181,2015-02-03,5,4,5,545
"286403","1009288","Norway",0,5,100.456611853698,2015-02-03,5,4,4,544
"153595","1007546","Australia",0,4,42.67495,2015-02-03,5,4,3,543
"249704","1018147","United Kingdom",0,3,21.6744875,2015-02-03,5,4,2,542
"180108","1018588","Virgin Islands, British",0,3,19.0260294309155,2015-02-03,5,4,2,542
"153580","1002153","Australia",0,5,7.01388,2015-02-03,5,4,1,541
"111639","1016643","United Kingdom",0,2,19.08292668,2015-02-03,5,3,2,532
"158521","1012838","Australia",0,2,7.95,2015-02-03,5,3,1,531
"241110","1012925","United Kingdom",0,1,276.906,2015-02-03,5,2,5,525
"285710","1006776","Australia",0,1,32.5,2015-02-03,5,2,3,523
"340467","1000340","Australia",0,1,10,2015-02-03,5,2,1,521
"145735","1016366","United Kingdom",0,1,5.56354575,2015-02-03,5,2,1,521
"143373","1001733","United Kingdom",1,175,4112.83989925714,2015-02-03,3,5,5,355
"242813","1021612","United Kingdom",1,3,42.937547,2015-02-03,3,4,3,343
"159111","1016933","Australia",1,3,4.36666666666667,2015-02-03,3,4,1,341
"153664","1003241","Australia",1,2,120.7505,2015-02-03,3,3,4,334
"1752","1017819","UAE",1,2,52.1491370360758,2015-02-03,3,3,4,334
"163610","1017571","Australia",1,2,22.54,2015-02-03,3,3,3,333
"285782","1009928","Australia",1,2,19.242,2015-02-03,3,3,2,332
"158670","1008764","Australia",1,2,12.95,2015-02-03,3,3,2,332
"149180","1017843","United Kingdom",1,1,4167.45,2015-02-03,3,2,5,325
"56833","1016268","India",1,1,12.438534907864,2015-02-03,3,2,2,322
"145370","1017587","United Kingdom",3,39,2060.82692307692,2015-02-03,2,5,5,255
"74918","1019487","UAE",3,3,540.89685829224,2015-02-03,2,4,5,245
"153810","1016509","Australia",2,3,146.261533333333,2015-02-03,2,4,4,244
"112870","1002455","United Kingdom",2,3,21.904911,2015-02-03,2,4,2,242
"11023","1007732","Virgin Islands, British",2,3,9.05120166104334,2015-02-03,2,4,1,241
"179922","1010509","Malta",3,1,19.3210359161348,2015-02-03,2,2,2,222
"60338","1015050","India",2,1,8.24085128471322,2015-02-03,2,2,1,221
"276816","1016798","Australia",4,3,60.7845,2015-02-03,1,4,4,144
"243744","1017172","United Kingdom",4,3,54.8563972,2015-02-03,1,4,4,144
"56358","1008007","Virgin Islands, British",5,3,35.195302361796,2015-02-03,1,4,3,143
"1039","1016651","Malta",5,3,26.8618273423306,2015-02-03,1,4,3,143
"246448","1000138","United Kingdom",4,2,82.27739525,2015-02-03,1,3,4,134
"153833","1014699","Australia",5,2,37.12,2015-02-03,1,3,3,133
"113779","1017539","United Kingdom",4,1,233.6534424,2015-02-03,1,2,4,124
"144952","1018336","United Kingdom",4,1,29.6182656,2015-02-03,1,2,3,123
