"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"933056","1010165","Dominica",0,172,10673.5451513069,2015-02-24,5,5,5,555
"918613","1009969","Virgin Islands, British",0,17355,10614.7353203147,2015-02-24,5,5,5,555
"910943","1008925","United Kingdom",0,69,8810.99725226087,2015-02-24,5,5,5,555
"918611","1007563","Virgin Islands, British",0,6099,8053.7046329919,2015-02-24,5,5,5,555
"919371","1000862","Cyprus",0,566,6487.41334027267,2015-02-24,5,5,5,555
"937664","1024189","United Kingdom",0,3742,6223.85101724076,2015-02-24,5,5,5,555
"930638","1002342","Seychelles",0,86,5438.67992483161,2015-02-24,5,5,5,555
"918754","1020008","UAE",0,130,5382.99306247385,2015-02-24,5,5,5,555
"918650","1009643","Virgin Islands, British",0,182,5381.35778346361,2015-02-24,5,5,5,555
"979580","1001095","Malta",0,35,5376.83555284539,2015-02-24,5,5,5,555
"914085","1006056","Australia",0,44,5267.51831818182,2015-02-24,5,5,5,555
"921590","1004248","Dominica",0,338,5194.37892943816,2015-02-24,5,5,5,555
"1112367","1003789","Dominica",0,53,5174.33364068365,2015-02-24,5,5,5,555
"975887","1001469","United Kingdom",0,164,4996.7501848426,2015-02-24,5,5,5,555
"921610","1013475","UAE",0,930,4979.60942855068,2015-02-24,5,5,5,555
"921319","1002086","Seychelles",0,35,4783.13703380585,2015-02-24,5,5,5,555
"948417","1017663","Virgin Islands, British",0,46,4735.73448846642,2015-02-24,5,5,5,555
"923526","1003594","Virgin Islands, British",0,239,4725.41212485644,2015-02-24,5,5,5,555
"912186","1001673","Australia",0,80,4634.2666275,2015-02-24,5,5,5,555
"926063","1007153","Seychelles",0,75,4419.66928042528,2015-02-24,5,5,5,555
"938121","1016836","United Kingdom",0,304,4378.73160380059,2015-02-24,5,5,5,555
"924349","1005043","Malta",0,47,4289.16122572956,2015-02-24,5,5,5,555
"946837","1003315","UAE",0,226,4253.33309432688,2015-02-24,5,5,5,555
"935648","1002064","Virgin Islands, British",0,49,4172.09992785351,2015-02-24,5,5,5,555
"910726","1018016","Ireland",0,96,4087.249065119,2015-02-24,5,5,5,555
"932993","1002117","Seychelles",0,111,4065.18498564593,2015-02-24,5,5,5,555
"910344","1018103","United Kingdom",0,121,4061.73523489298,2015-02-24,5,5,5,555
"919097","1018588","Virgin Islands, British",0,332,4060.52041552702,2015-02-24,5,5,5,555
"920543","1006673","Cyprus",0,288,4048.72396307948,2015-02-24,5,5,5,555
"924082","1019200","Malta",0,151,4027.6393650204,2015-02-24,5,5,5,555
"919000","1017911","Seychelles",0,2383,3967.5360558708,2015-02-24,5,5,5,555
"919420","1017910","UAE",0,295,3951.04630299593,2015-02-24,5,5,5,555
"1019252","1000723","United Kingdom",0,116,3853.43037952319,2015-02-24,5,5,5,555
"919632","1008971","UAE",0,73,3847.35865722991,2015-02-24,5,5,5,555
"976376","1011128","UAE",0,100,3830.54845856989,2015-02-24,5,5,5,555
"920002","1021642","United Kingdom",0,476,3823.85524234113,2015-02-24,5,5,5,555
"908902","1002170","Australia",0,127,3820.13358582677,2015-02-24,5,5,5,555
"941681","1002147","United Kingdom",0,52,3806.21518227365,2015-02-24,5,5,5,555
"924770","1002089","Seychelles",0,52,3802.97513060045,2015-02-24,5,5,5,555
