"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"105198","1017587","United Kingdom",0,142,2281.1390151243,2015-02-09,5,5,5,555
"163449","1017307","Australia",0,35,1369.34326857143,2015-02-09,5,5,5,555
"383670","1016144","India",0,15,997.457246663702,2015-02-09,5,5,5,555
"123203","1006661","UAE",0,10,884.18119482,2015-02-09,5,5,5,555
"5328","1022046","Virgin Islands, British",0,17,825.5171430169,2015-02-09,5,5,5,555
"116149","1018531","United Kingdom",0,30,403.58620386,2015-02-09,5,5,4,554
"121879","1019309","UAE",0,36,376.704829166667,2015-02-09,5,5,4,554
"57921","1007732","Virgin Islands, British",0,12,276.526786627304,2015-02-09,5,5,4,554
"100472","1011047","United Kingdom",0,6,210.357,2015-02-09,5,5,4,554
"96012","1012209","UAE",0,11,169.616694354545,2015-02-09,5,5,4,554
"49612","1017969","United Kingdom",0,8,82.4567990851284,2015-02-09,5,5,3,553
"104745","1016797","United Kingdom",0,90,69.1048036464444,2015-02-09,5,5,3,553
"77200","1015416","UAE",0,6,61.4067266605019,2015-02-09,5,5,3,553
"328739","1019484","Malta",0,7,45.847525867697,2015-02-09,5,5,2,552
"159070","1000133","Netherlands",0,34,12.170537278852,2015-02-09,5,5,1,551
"107780","1017293","United Kingdom",0,20,3.99699895,2015-02-09,5,5,1,551
"528963","1017843","United Kingdom",0,5,4389.9388,2015-02-09,5,4,5,545
"2340","1014619","Malta",0,3,3976.63806735012,2015-02-09,5,4,5,545
"138199","1018650","United Kingdom",0,4,668.95014375,2015-02-09,5,4,5,545
"10030","1018854","Seychelles",0,4,516.704594634051,2015-02-09,5,4,4,544
"124518","1017847","Cyprus",0,3,322.2828,2015-02-09,5,4,4,544
"138719","1018522","UAE",0,4,143.26601625,2015-02-09,5,4,4,544
"283733","1014897","Australia",0,4,62.545,2015-02-09,5,4,3,543
"154051","1009382","Australia",0,4,47.099,2015-02-09,5,4,2,542
"8592","1016903","United Kingdom",0,4,39.0002149948093,2015-02-09,5,4,2,542
"49666","1006293","United Kingdom",0,5,22.2284087075007,2015-02-09,5,4,2,542
"327188","1016597","Ukraine",0,4,7.96278941401727,2015-02-09,5,4,1,541
"303639","1023712","United Kingdom",0,2,618.7545,2015-02-09,5,3,5,535
"998","1007711","UAE",0,2,104.96056811251,2015-02-09,5,3,3,533
"17341","1017233","Seychelles",0,2,101.079191539061,2015-02-09,5,3,3,533
"155639","1004187","Australia",0,2,97.19015,2015-02-09,5,3,3,533
"285538","1006776","Australia",0,2,78.25,2015-02-09,5,3,3,533
"158367","1022135","Australia",0,2,39.375,2015-02-09,5,3,2,532
"159336","1013220","Australia",0,2,29.1687157964798,2015-02-09,5,3,2,532
"241824","1018850","United Kingdom",0,2,24.52596,2015-02-09,5,3,2,532
"153371","1010723","Australia",0,2,16.1,2015-02-09,5,3,2,532
"702","1017328","Seychelles",0,2,12.0757443063846,2015-02-09,5,3,1,531
"163006","1007355","Australia",0,2,7.7385,2015-02-09,5,3,1,531
"528966","1017553","United Kingdom",0,1,22032.368563,2015-02-09,5,2,5,525
"790498","1019549","United Kingdom",0,1,3965.866,2015-02-09,5,2,5,525
"121738","1018332","United Kingdom",0,1,631.071,2015-02-09,5,2,5,525
"93306","1016463","UAE",0,1,217.487654100701,2015-02-09,5,2,4,524
"161061","1013530","Australia",0,1,195.2,2015-02-09,5,2,4,524
"11161","1012396","UAE",0,1,158.471570205035,2015-02-09,5,2,4,524
"161312","1009928","Australia",0,1,131.9976,2015-02-09,5,2,4,524
"95860","1017539","United Kingdom",0,1,66.1957758,2015-02-09,5,2,3,523
"286091","1016069","Australia",0,1,51,2015-02-09,5,2,3,523
"152915","1013716","Cyprus",0,1,42.0714,2015-02-09,5,2,2,522
"110741","1000373","United Kingdom",0,1,26.056485,2015-02-09,5,2,2,522
"283863","1003241","Australia",0,1,24.4,2015-02-09,5,2,2,522
"122076","1010498","India",0,1,15.975225,2015-02-09,5,2,2,522
"154404","1014703","Australia",0,1,13.3,2015-02-09,5,2,1,521
"122765","1011855","United Kingdom",0,1,12.78018,2015-02-09,5,2,1,521
"3473","1017260","Seychelles",0,1,8.18934596418376,2015-02-09,5,2,1,521
"56849","1014786","Malta",1,7,904.975356443032,2015-02-09,4,5,5,455
"154000","1007026","New Zealand",1,12,98.4901166666667,2015-02-09,4,5,3,453
"118223","1023438","United Kingdom",1,6,82.85016285,2015-02-09,4,5,3,453
"60492","1009737","United Kingdom",1,3,913.682925642357,2015-02-09,4,4,5,445
"153361","1012366","Australia",1,4,795.9679,2015-02-09,4,4,5,445
"1111","1019750","UAE",1,5,632.227809499092,2015-02-09,4,4,5,445
"73994","1017080","Seychelles",1,3,556.579369971451,2015-02-09,4,4,4,444
"112359","1023371","United Kingdom",1,5,92.25798,2015-02-09,4,4,3,443
"100217","1011302","UAE",1,5,60.31578168,2015-02-09,4,4,3,443
"240187","1021612","United Kingdom",1,4,57.457995,2015-02-09,4,4,3,443
"347415","1008764","Australia",1,4,18.05,2015-02-09,4,4,2,442
"138189","1012721","United Kingdom",1,5,6.645468688,2015-02-09,4,4,1,441
"2332","1015714","UAE",1,2,834.386192577212,2015-02-09,4,3,5,435
"145761","1019818","United Kingdom",1,2,104.682375,2015-02-09,4,3,3,433
"2344","1023856","Dominica",1,2,99.53628528095,2015-02-09,4,3,3,433
"97081","1000250","United Kingdom",1,2,32.1489,2015-02-09,4,3,2,432
"341097","1007560","Australia",1,2,19.5,2015-02-09,4,3,2,432
"346340","1012808","Romania",1,2,17.8030430607874,2015-02-09,4,3,2,432
"59116","1014495","UAE",1,1,1865.78023617961,2015-02-09,4,2,5,425
"59237","1009855","UAE",1,1,414.617830262134,2015-02-09,4,2,4,424
"285616","1003833","Australia",1,1,211.2,2015-02-09,4,2,4,424
"75464","1008239","Malta",1,1,135.201466389826,2015-02-09,4,2,4,424
"292989","1007338","Seychelles",1,1,134.392063595491,2015-02-09,4,2,4,424
"122053","1014847","UAE",1,1,127.8018,2015-02-09,4,2,3,423
"59240","1018787","UAE",1,1,110.557844439398,2015-02-09,4,2,3,423
"144954","1022472","United Kingdom",1,1,52.58925,2015-02-09,4,2,3,423
"49925","1017814","UAE",1,1,41.4617830262134,2015-02-09,4,2,2,422
