"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"148870","1005901","United Kingdom",0,100,1634.9397,2015-01-29,5,5,5,555
"110933","1016797","United Kingdom",0,14,25.9066269,2015-01-29,5,5,2,552
"111643","1002455","United Kingdom",0,4,18.959913,2015-01-29,5,4,1,541
"56358","1008007","Virgin Islands, British",0,3,35.195302361796,2015-01-29,5,3,3,533
"1039","1016651","Malta",0,3,26.8618273423306,2015-01-29,5,3,2,532
"159364","1000133","Netherlands",0,3,8.6424520041414,2015-01-29,5,3,1,531
"153833","1014699","Australia",0,2,37.12,2015-01-29,5,2,4,524
"113053","1022210","United Kingdom",3,2,10.95444,2015-01-29,2,2,1,221
"153865","1006058","Australia",3,1,28.2,2015-01-29,2,1,3,213
"148596","1019549","United Kingdom",5,6,347.2875,2015-01-29,1,4,5,145
"153791","1016649","Australia",6,1,168,2015-01-29,1,1,4,114
"74082","1018787","UAE",4,1,7.20623815857773,2015-01-29,1,1,1,111
