"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"3391461","1018838","Seychelles",0,4312,16135.3662251098,2015-03-21,5,5,5,555
"3398329","1018013","Virgin Islands, British",0,50,11958.9314947854,2015-03-21,5,5,5,555
"3398353","1010165","Dominica",0,114,11226.1034868927,2015-03-21,5,5,5,555
"3451358","1013991","UAE",0,110,11149.5136286069,2015-03-21,5,5,5,555
"3391318","1006045","Virgin Islands, British",0,15268,10941.7009153003,2015-03-21,5,5,5,555
"3436726","1002532","UAE",0,28,9101.29238619957,2015-03-21,5,5,5,555
"3393706","1005247","Virgin Islands, British",0,671,9083.70145319709,2015-03-21,5,5,5,555
"3397913","1007879","UAE",0,43,8805.17100514767,2015-03-21,5,5,5,555
"3440802","1008291","Seychelles",0,71,8605.98992972537,2015-03-21,5,5,5,555
"3393485","1024189","United Kingdom",0,1369,8224.33232627877,2015-03-21,5,5,5,555
"3395478","1008885","Malta",0,56,7990.05001355819,2015-03-21,5,5,5,555
"3437762","1010918","Virgin Islands, British",0,34,7978.20471202632,2015-03-21,5,5,5,555
"3391375","1005229","Virgin Islands, British",0,1066,7932.97737813746,2015-03-21,5,5,5,555
"3392930","1002557","UAE",0,568,7497.38955785143,2015-03-21,5,5,5,555
"3402786","1016836","United Kingdom",0,467,7182.45755175666,2015-03-21,5,5,5,555
"3411853","1020841","United Kingdom",0,87,7060.66156228069,2015-03-21,5,5,5,555
"3440598","1001568","Malta",0,35,6342.89727356866,2015-03-21,5,5,5,555
"3442661","1007822","UAE",0,59,6176.69806318924,2015-03-21,5,5,5,555
"3401404","1004035","Australia",0,40,6107.7183425,2015-03-21,5,5,5,555
"3435297","1011483","Dominica",0,59,6055.74610901008,2015-03-21,5,5,5,555
"3399043","1009443","Virgin Islands, British",0,125,6007.05793087581,2015-03-21,5,5,5,555
"3439452","1015391","UAE",0,252,5944.30137332265,2015-03-21,5,5,5,555
"3397499","1019694","Dominica",0,85,5880.00638657813,2015-03-21,5,5,5,555
"3404386","1013872","Australia",0,48,5864.58449166667,2015-03-21,5,5,5,555
"3400824","1007869","Australia",0,260,5840.48455230769,2015-03-21,5,5,5,555
"3414414","1006955","UAE",0,68,5839.71738051471,2015-03-21,5,5,5,555
"3437780","1013044","Seychelles",0,81,5836.43877497139,2015-03-21,5,5,5,555
"3394110","1021642","United Kingdom",0,153,5804.11645911372,2015-03-21,5,5,5,555
"3430008","1008656","UAE",0,27,5799.9387970963,2015-03-21,5,5,5,555
"3394260","1006345","Virgin Islands, British",0,106,5796.98690955465,2015-03-21,5,5,5,555
"3438349","1001469","United Kingdom",0,190,5775.2530634641,2015-03-21,5,5,5,555
"3394930","1021136","Seychelles",0,36,5502.12955686345,2015-03-21,5,5,5,555
"3444727","1015596","UAE",0,41,5409.12861823655,2015-03-21,5,5,5,555
"3393494","1001112","United Kingdom",0,361,5381.02828200734,2015-03-21,5,5,5,555
"3398484","1005552","UAE",0,255,5364.48142992711,2015-03-21,5,5,5,555
"3391157","1000862","Cyprus",0,779,5359.36916422065,2015-03-21,5,5,5,555
"3400169","1009474","Malta",0,36,5252.23671539772,2015-03-21,5,5,5,555
"3447342","1006234","Malta",0,47,5220.07559474324,2015-03-21,5,5,5,555
"3446662","1008626","UAE",0,230,5209.1306794372,2015-03-21,5,5,5,555
"3451361","1003315","UAE",0,468,5207.74444247636,2015-03-21,5,5,5,555
"3419651","1006673","Cyprus",0,100,5161.235032927,2015-03-21,5,5,5,555
"3436582","1006744","Virgin Islands, British",0,227,5141.57898359742,2015-03-21,5,5,5,555
"3393757","1005665","Malta",0,898,5137.0463909061,2015-03-21,5,5,5,555
"3435448","1002137","Malta",0,285,5105.2681626599,2015-03-21,5,5,5,555
"3402455","1013586","Cyprus",0,24,5098.9335905991,2015-03-21,5,5,5,555
"3415087","1010045","United Kingdom",0,60,5075.87337568483,2015-03-21,5,5,5,555
"3436425","1005181","UAE",0,117,5046.96418867857,2015-03-21,5,5,5,555
"3396690","1017911","Seychelles",0,1803,5030.23015739284,2015-03-21,5,5,5,555
"3444697","1007744","UAE",0,473,5027.52495066474,2015-03-21,5,5,5,555
"3391235","1005945","United Kingdom",0,4898,5012.79219584427,2015-03-21,5,5,5,555
"3451688","1008670","India",0,31,4875.21638628037,2015-03-21,5,5,5,555
"3431747","1005881","Virgin Islands, British",0,120,4859.39210272446,2015-03-21,5,5,5,555
"3440709","1002076","Seychelles",0,103,4810.85758443891,2015-03-21,5,5,5,555
"3444596","1008012","UAE",0,124,4801.94477442439,2015-03-21,5,5,5,555
"3398477","1013772","Virgin Islands, British",0,75,4801.60074014625,2015-03-21,5,5,5,555
"3393167","1017675","Virgin Islands, British",0,76,4774.60036499246,2015-03-21,5,5,5,555
"3437042","1007143","Virgin Islands, British",0,117,4772.23932694834,2015-03-21,5,5,5,555
"3399561","1002117","Seychelles",0,122,4755.47438761771,2015-03-21,5,5,5,555
"3395471","1009080","India",0,6229,4645.42335707032,2015-03-21,5,5,5,555
"3435657","1019528","Seychelles",0,346,4571.06524050129,2015-03-21,5,5,5,555
"3400236","1023082","Virgin Islands, British",0,36,4503.59685352945,2015-03-21,5,5,5,555
"3395441","1002624","Malta",0,87,4502.34581041383,2015-03-21,5,5,5,555
"3393782","1006002","Dominica",0,528,4474.25250334385,2015-03-21,5,5,5,555
"3435735","1006600","UAE",0,77,4445.85531742442,2015-03-21,5,5,5,555
"3412420","1000813","United Kingdom",0,34,4435.99111523529,2015-03-21,5,5,5,555
"3400071","1002819","Dominica",0,194,4403.77980542477,2015-03-21,5,5,5,555
"3396582","1018294","Mauritius",0,32,4390.85641905178,2015-03-21,5,5,5,555
"3398948","1010992","Dominica",0,370,4384.73472607132,2015-03-21,5,5,5,555
"3392978","1009583","UAE",0,82,4323.48522053659,2015-03-21,5,5,5,555
"3392627","1007964","United Kingdom",0,286,4316.42140653085,2015-03-21,5,5,5,555
"3440131","1011171","Seychelles",0,31,4278.28615696615,2015-03-21,5,5,5,555
"3398875","1020008","UAE",0,119,4266.35651979832,2015-03-21,5,5,5,555
"3393038","1007737","Seychelles",0,156,4256.39013124859,2015-03-21,5,5,5,555
"3406914","1005071","Australia",0,41,4254.75097560976,2015-03-21,5,5,5,555
"3406164","1008630","Australia",0,43,4238.97209302326,2015-03-21,5,5,5,555
"3423178","1016704","United Kingdom",0,195,4228.21690135872,2015-03-21,5,5,5,555
"3392495","1007971","Virgin Islands, British",0,905,4226.98268818349,2015-03-21,5,5,5,555
"3436722","1020259","Seychelles",0,28,4223.61343510791,2015-03-21,5,5,5,555
"3393717","1009001","UAE",0,103,4212.82724195426,2015-03-21,5,5,5,555
"3397759","1010182","UAE",0,168,4182.11353296977,2015-03-21,5,5,5,555
"3407514","1023895","Australia",0,105,4165.06651238095,2015-03-21,5,5,5,555
"3393477","1001257","UAE",0,574,4164.27862233571,2015-03-21,5,5,5,555
"3400258","1021326","UAE",0,103,4150.26904181279,2015-03-21,5,5,5,555
"3435897","1005244","Seychelles",0,31,4100.4129071554,2015-03-21,5,5,5,555
"3405643","1008592","Jamaica",0,55,4094.71222727273,2015-03-21,5,5,5,555
"3408906","1023799","UAE",0,62,4062.02232258065,2015-03-21,5,5,5,555
"3432844","1015799","Seychelles",0,774,4061.56779850612,2015-03-21,5,5,5,555
"3452087","1009306","UAE",0,416,4060.09324578391,2015-03-21,5,5,5,555
"3399629","1022009","Malta",0,573,4039.6769182658,2015-03-21,5,5,5,555
"3402158","1010039","Australia",0,34,4029.23529411765,2015-03-21,5,5,5,555
"3402058","1019028","Australia",0,59,4029.00016949153,2015-03-21,5,5,5,555
"3447453","1014175","Seychelles",0,31,4018.82577081901,2015-03-21,5,5,5,555
"3448952","1011183","Dominica",0,665,4013.38303286089,2015-03-21,5,5,5,555
"3391898","1003038","Dominica",0,328,3966.93077441548,2015-03-21,5,5,5,555
"3443639","1007336","Virgin Islands, British",0,42,3946.09645606318,2015-03-21,5,5,5,555
"3392559","1009344","Virgin Islands, British",0,243,3932.66321208533,2015-03-21,5,5,5,555
"3397145","1018103","United Kingdom",0,129,3918.13698178295,2015-03-21,5,5,5,555
"3430516","1004398","Dominica",0,291,3917.58360848741,2015-03-21,5,5,5,555
"3446916","1007565","Dominica",0,26,3915.75176216029,2015-03-21,5,5,5,555
"3394966","1014910","UAE",0,135,3911.13502687339,2015-03-21,5,5,5,555
"3411229","1022297","United Kingdom",0,26,3906.94334615385,2015-03-21,5,5,5,555
"3442602","1015757","Seychelles",0,66,3906.244855939,2015-03-21,5,5,5,555
"3437829","1005856","Malta",0,30,3896.6654757729,2015-03-21,5,5,5,555
"3439439","1006615","India",0,30,3870.63888321252,2015-03-21,5,5,5,555
"3392515","1018409","Malta",0,503,3867.28746801151,2015-03-21,5,5,5,555
"3436377","1005592","UAE",0,158,3841.16921614987,2015-03-21,5,5,5,555
"3410620","1005932","United Kingdom",0,40,3838.31719753,2015-03-21,5,5,5,555
"3435513","1021669","Seychelles",0,42,3820.82338085047,2015-03-21,5,5,5,555
"3394213","1019941","United Kingdom",0,209,3810.86686797215,2015-03-21,5,5,5,555
"3442574","1019449","Malta",0,150,3779.97370092329,2015-03-21,5,5,5,555
"3391801","1014470","UAE",0,199,3779.79681419271,2015-03-21,5,5,5,555
"3391429","1003179","Malta",0,134,3768.5933379589,2015-03-21,5,5,5,555
"3439512","1002722","UAE",0,72,3752.60076288827,2015-03-21,5,5,5,555
"3397627","1006689","United Kingdom",0,105,3706.00246095238,2015-03-21,5,5,5,555
"3446610","1008471","Dominica",0,73,3703.72655439243,2015-03-21,5,5,5,555
"3392904","1004788","UAE",0,269,3661.43508401888,2015-03-21,5,5,5,555
"3418611","1000723","United Kingdom",0,49,3647.36493197959,2015-03-21,5,5,5,555
"3393078","1013016","Seychelles",0,994,3632.12143317625,2015-03-21,5,5,5,555
"3401410","1017684","Australia",0,143,3625.47593706294,2015-03-21,5,5,5,555
"3432904","1022011","Seychelles",0,549,3604.88958876074,2015-03-21,5,5,5,555
